音	yin1	522966.8478	41431		2511		立		日	
火	huo3	521084.5675	4334				火			
干	gan1	519889.9551	112						十	
利	li4	519530.0399	31234		22		禾			
句	ju4	518302.4991	35		251				口	
万	wan4	516658.3755	153							
姐	jie3	515642.1891	531		25111		女			
九	jiu3	513969.7318	35							
魔	mo2	511196.0868	413	12341234	3251135	54	广	木		
模	mo2	507395.5347	1234		1222511134		木		莫	
条	tiao2	498308.8227	354		1234		夂		木	
场	chang3	496744.3399	121		533		土			
流	liu2	495298.5526	441		4154	325	水			
识	shi2	492052.4232	45		251	34	讠		口	
青	qing1	489693.0637	1121		2511				月	
切	qie1	488781.7888	15		53				刀	
百	bai3	486424.7267	13		2511				日	
云	yun2	486382.6089	11		54					
早	zao3	485343.4493	2511		12		日		十	
每	mei3	485003.4442	31		55414					
求	qiu2	482814.8531	1241344							
北	bei3	480817.7062	211		35				匕	
八	ba1	479986.8379	34							
办	ban4	479104.6626	53		44		力			
近	jin4	477396.9795	3312		454				辶	
设	she4	474937.3032	45		3554		讠		殳	
房	fang2	474608.019	4513		4153				方	
随	sui2	472614.7011	52		132511	454				辶
集	ji2	471763.9226	32	411121	1234		亻		木	
喜	xi3	471541.8472	121	251431	251		士	口	口	
失	shi1	471292.9696	31134							
务	wu4	470490.4352	354		53		夂		力	
离	li2	468615.8126	41	3452	2554					
孩	hai2	463553.2597	521		415334					
告	gao4	463239.2911	3121	121	251		丿	土	口	
兵	bing1	463039.4232	32121		34					
术	shu4	460799.525	1234		4		木			
电	dian4	460536.8634	25115							
决	jue2	453735.2305	41		5134		冫			
影	ying3	452177.6397	2511	41251234	333		日			
拿	na2	450832.935	341	251	3112		人	口	手	
认	ren4	450741.8075	45		34		讠		人	
交	jiao1	449731.7474	41		34	34				
极	ji2	449428.4997	1234		534		木			
谁	shei2	446653.3232	45		32	411121	讠		亻	
器	qi4	446250.5244	251251		1344	251251	口		大	口
站	zhan4	444412.6591	41431		21	251	立			口
竟	jing4	441867.2158	41431	2511	35		立	日	儿	
请	qing3	438706.8534	45		1121	2511	讠			月
林	lin2	437101.0186	1234		1234		木		木	
始	shi3	437071.1533	531		54	251	女			口
友	you3	435956.9475	13		54				又	
灵	ling2	435412.48	511		4334				火	
落	luo4	434384.0412	122		441	354251	草		水	夂
精	jing1	433884.7545	431234		1121	2511				月
够	gou4	432918.3437	35251		354	354				
刻	ke4	432707.755	415334		22					
单	dan1	432124.2328	43		251112					
越	yue4	425803.5079	1212134		15534		土			
拉	la1	425113.5427	121		41431		手		立	
深	shen1	421586.373	441		4534	1234	水			木
存	cun2	419272.9602	132		521					
哪	na3	419093.7683	251		5113	52	口			
父	fu4	419062.3714	34		34					
队	dui4	418315.7387	52		34				人	
七	qi1	416287.1949	15							
示	shi4	415914.2614	11		234					
冷	leng3	415290.153	41		34	454	冫		人	
元	yuan2	415274.0717	11		35				儿	
根	gen1	415060.4199	1234		511534		木			
惊	jing1	414630.8189	442		41	251234				口
哥	ge1	414595.5931	12251		12	251				口
杀	sha1	414560.3674	34		1234				木	
功	gong1	414393.428	121		53		工		力	
斯	si1	414142.2531	122111	34	3312					
紧	jin3	412196.4132	2254		554	234				
消	xiao1	411049.279	441		243	2511	水			月
收	shou1	410274.3125	52		3134				攵	
兴	xing1	406731.8273	4431		34					
静	jing4	405514.2416	1121	2511	35	5112		月		
保	bao3	405454.511	32		251	1234	亻		口	木
般	ban1	405168.8761	335414		3554				殳	
整	zheng3	405112.9744	1251234	3134	12121			攵		
周	zhou1	400739.6209	35		121	251			土	口
母	mu3	399858.9771	55414							
石	shi2	399064.1004	13		251				口	
怪	guai4	395326.342	442		54	121			又	土
送	song4	391895.6603	43	1134	454			一	辶	
星	xing1	391489.7984	2511		31121		日			
击	ji1	390696.4532	11252							
阵	zhen4	390328.1144	52		1512				车	
爷	ye2	389891.6214	3434		52					
型	xing2	389353.28	1132	22	121				土	
苦	ku3	389170.2593	122		12	251	草		十	口
基	ji1	387438.8371	122111	34	121				土	
男	nan2	386664.6364	25121		53				力	
族	zu2	386359.0913	4153		31	31134	方			
